State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total   Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
UTTARAKHAND,HARIDWAR,BHAGWANPUR,BLOCK,31537,8207.34,7386.6,5515.75,74.67237971,Semi-Critical
UTTARAKHAND,HARIDWAR,GURUKUL NARSEN,BLOCK,23107,8357.06,7939.2,3412.05,42.97725212,safe
UTTARAKHAND,HARIDWAR,KHANPUR,BLOCK,17814,4427.98,4206.58,2508.9,59.64227472,safe
UTTARAKHAND,HARIDWAR,LUKSAR,BLOCK,27778,7190.02,6471.02,4502.42,69.57821178,safe
UTTARAKHAND,HARIDWAR,ROORKEE,BLOCK,22836,6907.02,6216.32,4292.56,69.0530732,safe
UTTARAKHAND,NAINITAL,HALDWANI,BLOCK,11277,8724.09,7851.68,6756.21,86.04795407,Semi-Critical
UTTARAKHAND,NAINITAL,RAMNAGAR,BLOCK,12366,10040.07,9538.07,2852.84,29.91003421,safe
UTTARAKHAND,UDHAMSINGH NAGAR,BAZPUR,BLOCK,28646,8452.33,7607.1,3403.03,44.73491869,safe
UTTARAKHAND,UDHAMSINGH NAGAR,GADARPUR,BLOCK,23326,13053.7,11748.33,5651.83,48.10751826,safe
UTTARAKHAND,UDHAMSINGH NAGAR,JASPUR,BLOCK,23229,11965.08,10768.57,6852.47,63.63398297,safe
UTTARAKHAND,UDHAMSINGH NAGAR,KASHIPUR,BLOCK,18517,10069.87,9566.38,6775.19,70.82292361,Semi-Critical
UTTARAKHAND,UDHAMSINGH NAGAR,KHATIMA,BLOCK,35157,12246.25,11633.94,8088.21,69.52253493,safe
UTTARAKHAND,UDHAMSINGH NAGAR,RUDRAPUR,BLOCK,31153,9817.84,8836.06,5025.42,56.87399135,safe
UTTARAKHAND,UDHAMSINGH NAGAR,SITARGANJ,BLOCK,33254,10290.57,9261.51,4140.52,44.70674868,safe
WEST BENGAL,ALIPURDUAR,ALIPURDUAR-I,BLOCK,37859,20327.1,18294.39,1386.19,7.577131569,safe
WEST BENGAL,ALIPURDUAR,ALIPURDUAR-II,BLOCK,32872,19617.66,17655.89,5500.92,31.15628835,safe
WEST BENGAL,ALIPURDUAR,FALAKATA,BLOCK,35398,19253.63,17328.26,2083.31,12.02261508,safe
WEST BENGAL,ALIPURDUAR,KALCHINI,BLOCK,42024,22187.75,19968.97,1113.93,5.57830474,safe
WEST BENGAL,ALIPURDUAR,KUMARGRAM,BLOCK,51768,33334.56,30001.1,1805.48,6.018046005,safe
WEST BENGAL,ALIPURDUAR,MADARIHAT,BLOCK,37676,19962.37,17966.13,1024.49,5.702341016,safe
WEST BENGAL,BANKURA,BANKURA-I,BLOCK,19015,2484.91,2236.42,451.15,20.17286556,safe
WEST BENGAL,BANKURA,BANKURA-II,BLOCK,22084,2893.93,2604.54,635.26,24.39048738,safe
WEST BENGAL,BANKURA,BARJORA,BLOCK,39323,13493.77,12819.08,2207.73,17.22221876,safe
WEST BENGAL,BANKURA,CHHATNA,BLOCK,44747,4359.49,3923.54,559.89,14.27002146,safe
WEST BENGAL,BANKURA,GANGAJALGHATI,BLOCK,36647,4898.1,4408.29,541.44,12.28231355,safe
WEST BENGAL,BANKURA,HIRBANDH,BLOCK,19097,2631.5,2368.35,223.57,9.439905419,safe
WEST BENGAL,BANKURA,INDPUR,BLOCK,30260,3592.59,3233.33,401.52,12.41815713,safe
WEST BENGAL,BANKURA,INDUS,BLOCK,25499,12120.47,10908.42,6055.18,55.50923048,safe
WEST BENGAL,BANKURA,JAYPUR,BLOCK,26382,11700.49,10530.44,5177.88,49.17059496,safe
WEST BENGAL,BANKURA,KHATRA,BLOCK,23182,2481.21,2233.09,253.28,11.34213131,safe
WEST BENGAL,BANKURA,KOTULPUR,BLOCK,25038,10780.6,9702.54,6662.08,68.66325725,safe
WEST BENGAL,BANKURA,MEJHIA,BLOCK,16287,4238.34,3814.51,516.32,13.53568348,safe
WEST BENGAL,BANKURA,ONDA,BLOCK,50246,16700.14,15796.81,8410.08,53.23910334,safe
WEST BENGAL,BANKURA,PATRASAYER,BLOCK,32262,12374,11136.6,4509.52,40.49278954,safe
WEST BENGAL,BANKURA,RAIPUR,BLOCK,36992,4630.78,4167.69,1856.71,44.5500985,safe
WEST BENGAL,BANKURA,RANIBUNDH,BLOCK,42851,6089.95,5480.95,356.3,6.500697872,safe
WEST BENGAL,BANKURA,SALTORA,BLOCK,31262,3392.62,3053.36,362.49,11.87183955,safe
WEST BENGAL,BANKURA,SARENGA,BLOCK,22378,6773.85,6096.47,2260.04,37.07128879,safe
WEST BENGAL,BANKURA,SIMLAPAL,BLOCK,31015,9179.1,8579.07,1638.14,19.09461049,safe
WEST BENGAL,BANKURA,SONAMUKHI,BLOCK,39685,13868.4,13174.98,5158.09,39.15064767,safe
WEST BENGAL,BANKURA,TALDANGRA,BLOCK,34974,10846.86,10304.53,1437.42,13.94939895,safe
WEST BENGAL,BANKURA,VISHNUPUR,BLOCK,38775,17938.35,16144.51,9462.46,58.6110077,safe
WEST BENGAL,BIRBHUM,BOLPUR SRINIKETAN,BLOCK,34772,10655.42,10122.65,1956.42,19.32715247,safe
WEST BENGAL,BIRBHUM,DUBRAJPUR,BLOCK,36095,9807.07,8826.36,1009.3,11.43506496,safe
WEST BENGAL,BIRBHUM,ILLAMBAZAR,BLOCK,26155,9634.44,9152.72,5215.48,56.98284226,safe
WEST BENGAL,BIRBHUM,KHOYRASOL,BLOCK,27219,3383.01,3044.7,1743.29,57.25654416,safe
WEST BENGAL,BIRBHUM,LABPUR,BLOCK,26800,10884.42,9795.98,3154.49,32.20188281,safe
WEST BENGAL,BIRBHUM,MAYURESWAR-I,BLOCK,22484,8247.31,7422.58,2435.68,32.81446613,safe
WEST BENGAL,BIRBHUM,MAYURESWAR-II,BLOCK,15659,6670.66,6003.59,4080.27,67.96383497,safe
WEST BENGAL,BIRBHUM,MOHAMMAD BAZAR,BLOCK,31564,4173.96,3756.56,688.84,18.33698916,safe
WEST BENGAL,BIRBHUM,MURARAI-I,BLOCK,17130,2437.93,2194.13,690.42,31.46668611,safe
WEST BENGAL,BIRBHUM,MURARAI-II,BLOCK,18534,5209.81,4688.82,1453.05,30.98967331,safe
WEST BENGAL,BIRBHUM,NALHATI-I,BLOCK,24898,3559.69,3203.72,1108.07,34.58698014,safe
WEST BENGAL,BIRBHUM,NALHATI-II,BLOCK,10916,3777.31,3399.57,1225.29,36.04249949,safe
WEST BENGAL,BIRBHUM,NANOOR,BLOCK,31194,10381.62,9343.45,2081.44,22.27699618,safe
WEST BENGAL,BIRBHUM,RAJNAGAR,BLOCK,22148,2511.99,2260.79,271.49,12.00863415,safe
WEST BENGAL,BIRBHUM,RAMPURHAT-I,BLOCK,29388,4084.35,3675.92,745.07,20.26893948,safe
WEST BENGAL,BIRBHUM,RAMPURHAT-II,BLOCK,18419,5996.07,5396.47,976.23,18.09015894,safe
WEST BENGAL,BIRBHUM,SAINTHIA,BLOCK,31440,11332.87,10199.58,3787.28,37.13172503,safe
WEST BENGAL,BIRBHUM,SURI-I,BLOCK,16412,2380.47,2142.42,529.11,24.69683815,safe
WEST BENGAL,BIRBHUM,SURI-II,BLOCK,13582,4623.48,4161.13,1096.02,26.3394799,safe
WEST BENGAL,DAKSHIN DINAJPUR,BALURGHAT,BLOCK,37950,19571.48,17614.33,11328.84,64.31604268,safe
WEST BENGAL,DAKSHIN DINAJPUR,BANSIHARI,BLOCK,19652,9527.98,9051.58,4921.67,54.37360107,safe
WEST BENGAL,DAKSHIN DINAJPUR,GANGARAMPUR,BLOCK,32581,15541.9,14764.8,7291.05,49.38129876,safe
WEST BENGAL,DAKSHIN DINAJPUR,HARIRAMPUR,BLOCK,20484,10681.04,9612.93,5318.69,55.32850026,safe
WEST BENGAL,DAKSHIN DINAJPUR,HILLI,BLOCK,9079,5027.34,4524.6,3739.09,82.63912832,Semi-Critical
WEST BENGAL,DAKSHIN DINAJPUR,KUMARGANJ,BLOCK,28663,15162.42,13646.17,9235.44,67.67789057,safe
WEST BENGAL,DAKSHIN DINAJPUR,KUSHMUNDI,BLOCK,31064,16386.6,14747.94,10423.34,70.67658263,Semi-Critical
WEST BENGAL,DAKSHIN DINAJPUR,TAPAN,BLOCK,44563,21654.53,19489.08,9908.8,50.84283096,safe
WEST BENGAL,DARJILING,DARJEELING PULBAZAR,BLOCK,8469,1520.09,1368.08,457.8,33.46295538,safe
WEST BENGAL,DARJILING,JOREBUNGLOW SUKIAPOKHRI,BLOCK,4437,877.21,789.49,235.6,29.84204993,safe
WEST BENGAL,DARJILING,KHARIBARI,BLOCK,14488,6853.68,6168.31,1161.55,18.83092776,safe
WEST BENGAL,DARJILING,KURSEONG,BLOCK,7807,1228.44,1105.6,277.97,25.14200434,safe
WEST BENGAL,DARJILING,MATIGARA,BLOCK,15271,7113.86,6402.48,1240.39,19.37358649,safe
WEST BENGAL,DARJILING,MIRIK,BLOCK,2518,389.77,350.79,143.04,40.77653297,safe
WEST BENGAL,DARJILING,NAXALBARI,BLOCK,18812,8620.3,7758.26,614.29,7.917883649,safe
WEST BENGAL,DARJILING,PHANSIDEWA,BLOCK,31210,14419.65,12977.68,1611.96,12.42101824,safe
WEST BENGAL,DARJILING,RANGLI RANGLIOT,BLOCK,5460,962.9,866.61,170.12,19.6305143,safe
WEST BENGAL,HAORA,AMTA-I,BLOCK,12365,4678.73,4210.86,512.57,12.17257282,safe
WEST BENGAL,HAORA,AMTA-II,BLOCK,13542,4266.92,4053.58,511.04,12.60712753,safe
WEST BENGAL,HAORA,BAGNAN-I,BLOCK,8633,0,0,0,0,Saline
WEST BENGAL,HAORA,BAGNAN-II,BLOCK,7752,0,0,0,0,Saline
WEST BENGAL,HAORA,BALLY JAGACHHA,BLOCK,7205,0,0,0,0,Saline
WEST BENGAL,HAORA,DOMJUR,BLOCK,9730,3556.25,3378.44,1006.28,29.78534472,safe
WEST BENGAL,HAORA,JAGATBALLAVPUR,BLOCK,12489,4142.27,3728.04,658.57,17.66531475,safe
WEST BENGAL,HAORA,PANCHLA,BLOCK,5342,0,0,0,0,Saline
WEST BENGAL,HAORA,SANKRAIL,BLOCK,3664,0,0,0,0,Saline
WEST BENGAL,HAORA,SHYAMPUR-I,BLOCK,11392,0,0,0,0,Saline
WEST BENGAL,HAORA,SHYAMPUR-II,BLOCK,10025,0,0,0,0,Saline
WEST BENGAL,HAORA,UDAYNARAYANPUR,BLOCK,12480,4795.11,4315.6,1553.01,35.98595792,safe
WEST BENGAL,HAORA,ULUBERIA-I,BLOCK,11438,0,0,0,0,Saline
WEST BENGAL,HAORA,ULUBERIA-II,BLOCK,6298,0,0,0,0,Saline
WEST BENGAL,HUGLI,ARAMBAG,BLOCK,26932,11449.2,10304.27,5878.81,57.05217352,safe
WEST BENGAL,HUGLI,BALAGARH,BLOCK,20215,11078.91,9971.01,8335.99,83.60226296,Semi-Critical
WEST BENGAL,HUGLI,CHANDITALA-I,BLOCK,9345,3882.83,3494.54,1511,43.23888123,safe
WEST BENGAL,HUGLI,CHANDITALA-II,BLOCK,7034,2696.73,2427.05,784.53,32.32442677,safe
WEST BENGAL,HUGLI,CHINSURAH-MAGRA,BLOCK,8186,2727.76,2454.99,1685.61,68.66056481,safe
WEST BENGAL,HUGLI,DHANIAKHALI,BLOCK,27568,11534.12,10380.71,3017.44,29.06776126,safe
WEST BENGAL,HUGLI,GOGHAT-I,BLOCK,18632,8469.8,7622.82,3664.1,48.06751307,safe
WEST BENGAL,HUGLI,GOGHAT-II,BLOCK,19003,7942.27,7545.15,6028.07,79.89330895,Semi-Critical
WEST BENGAL,HUGLI,HARIPAL,BLOCK,18442,8055.58,7250.02,3648.17,50.31944739,safe
WEST BENGAL,HUGLI,JANGIPARA,BLOCK,16423,7801.31,7021.18,4561.7,64.9705605,safe
WEST BENGAL,HUGLI,KHANAKUL-I,BLOCK,17193,7444.14,6699.73,3536,52.77824629,safe
WEST BENGAL,HUGLI,KHANAKUL-II,BLOCK,12184,4485.34,4036.8,599.42,14.84889021,safe
WEST BENGAL,HUGLI,PANDUA,BLOCK,27644,12154.43,10938.97,5189.13,47.43709874,safe
WEST BENGAL,HUGLI,POLBA-DADPUR,BLOCK,28569,12960.55,11664.49,6076.67,52.09546238,safe
WEST BENGAL,HUGLI,PURSURA,BLOCK,10043,4439.89,3995.9,2199.68,55.04842464,safe
WEST BENGAL,HUGLI,SERAMPUR UTTARPARA,BLOCK,4480,1757.27,1581.54,1243.29,78.61261808,Semi-Critical
WEST BENGAL,HUGLI,SINGUR,BLOCK,16485,6679.42,6011.48,3608.53,60.02731441,safe
WEST BENGAL,HUGLI,TARAKESWAR,BLOCK,11993,5058,4552.21,1814.84,39.86722932,safe
WEST BENGAL,JALPAIGURI,BANARHAT,BLOCK,28766,15602.06,14041.85,1521.5,10.83546684,safe
WEST BENGAL,JALPAIGURI,DHUPGURI,BLOCK,27788,15295.06,13765.55,2212.72,16.07433048,safe
WEST BENGAL,JALPAIGURI,JALPAIGURI SADAR,BLOCK,51362,28219.85,25397.86,4290.88,16.89465175,safe
WEST BENGAL,JALPAIGURI,KRANTI,BLOCK,29509,15942.2,14347.98,1639.45,11.42634712,safe
WEST BENGAL,JALPAIGURI,MAL,BLOCK,25831,14069.11,12662.2,1484.04,11.72023819,safe
WEST BENGAL,JALPAIGURI,MAYNAGURI,BLOCK,53060,30479.77,27431.8,6278.54,22.88781633,safe
WEST BENGAL,JALPAIGURI,METIALI,BLOCK,20491,10881.17,9793.05,548,5.595805188,safe
WEST BENGAL,JALPAIGURI,NAGRAKATA,BLOCK,39749,21003.44,18903.09,436.49,2.309093381,safe
WEST BENGAL,JALPAIGURI,RAJGANJ,BLOCK,63663,33755.1,30379.59,2020.5,6.650846835,safe
WEST BENGAL,JHARGRAM,BINPUR-I,BLOCK,35762,14275.29,13561.52,5790.76,42.69993334,safe
WEST BENGAL,JHARGRAM,BINPUR-II,BLOCK,58350,15746.18,14958.87,821.84,5.493997876,safe
WEST BENGAL,JHARGRAM,GOPIBALLAVPUR-I,BLOCK,27583,8760.42,8322.4,5108.82,61.38637893,safe
WEST BENGAL,JHARGRAM,GOPIBALLAVPUR-II,BLOCK,19217,5721.67,5149.5,2158.78,41.92212836,safe
WEST BENGAL,JHARGRAM,JAMBONI,BLOCK,31813,11337.62,10750.19,1456.75,13.55092329,safe
WEST BENGAL,JHARGRAM,JHARGRAM,BLOCK,51511,19338,17404.2,2416.29,13.88337298,safe
WEST BENGAL,JHARGRAM,NAYAGRAM,BLOCK,50144,16580.38,14922.34,571.85,3.832173774,safe
WEST BENGAL,JHARGRAM,SAKRAIL,BLOCK,27680,11287.73,10158.96,5146.08,50.65557892,safe
WEST BENGAL,KALIMPONG,GORUBATHAN,BLOCK,8854,1611.51,1450.36,15.92,1.097658512,safe
WEST BENGAL,KALIMPONG,KALIMPONG-I,BLOCK,7392,1364.48,1228.03,34.03,2.77110494,safe
WEST BENGAL,KALIMPONG,KALIMPONG-II,BLOCK,4825,941.95,847.75,14.82,1.748156886,safe
WEST BENGAL,KOCH BIHAR,COOCHBEHAR-I,BLOCK,36936,24522.97,22070.68,13733.26,62.22400035,safe
WEST BENGAL,KOCH BIHAR,COOCHBEHAR-II,BLOCK,38538,25029.9,22526.91,4865.73,21.5996335,safe
WEST BENGAL,KOCH BIHAR,DINHATA-I,BLOCK,28422,19513.19,17561.87,11875.66,67.62184209,safe
WEST BENGAL,KOCH BIHAR,DINHATA-II,BLOCK,24698,15338.37,13804.53,6109.97,44.2606159,safe
WEST BENGAL,KOCH BIHAR,HALDIBARI,BLOCK,16288,9574.95,8617.45,3583.52,41.58445944,safe
WEST BENGAL,KOCH BIHAR,MATHABHANGA-I,BLOCK,32310,17863.99,16077.59,4366.77,27.16060056,safe
WEST BENGAL,KOCH BIHAR,MATHABHANGA-II,BLOCK,30999,20448.35,18403.52,11244.38,61.09907235,safe
WEST BENGAL,KOCH BIHAR,MEKLIGANJ,BLOCK,30595,18073.08,16265.77,6746.72,41.4780241,safe
WEST BENGAL,KOCH BIHAR,SITAI,BLOCK,16082,10216.95,9195.25,4801.93,52.22185367,safe
WEST BENGAL,KOCH BIHAR,SITALKUCHI,BLOCK,26251,16997.09,15297.38,9043.22,59.11613623,safe
WEST BENGAL,KOCH BIHAR,TUFANGANJ-I,BLOCK,31949,17936.81,16143.13,4236.88,26.24571567,safe
WEST BENGAL,KOCH BIHAR,TUFANGANJ-II,BLOCK,26569,18323.84,16491.46,5387.13,32.66617995,safe
WEST BENGAL,KOLKATTA,KMC,BLOCK,18700,0,0,0,0,Saline
WEST BENGAL,MALDA,BAMANGOLA,BLOCK,20620,6955.2,6259.68,989.89,15.81374767,safe
WEST BENGAL,MALDA,CHANCHAL-I,BLOCK,16215,5921.01,5624.96,2389.93,42.48794658,safe
WEST BENGAL,MALDA,CHANCHAL-II,BLOCK,20522,6618,6287.1,2178.96,34.65763229,safe
WEST BENGAL,MALDA,ENGLISH BAZAR,BLOCK,25185,8709.02,7838.12,1683.02,21.47224079,safe
WEST BENGAL,MALDA,GAZOLE,BLOCK,31373,12363.54,11127.19,3969.6,35.67477503,safe
WEST BENGAL,MALDA,HABIBPUR,BLOCK,39710,14911.58,13420.42,2115.58,15.76388816,safe
WEST BENGAL,MALDA,HARISCHANDRAPUR-I,BLOCK,17142,6445.29,5800.76,3035.89,52.3360732,safe
WEST BENGAL,MALDA,HARISCHANDRAPUR-II,BLOCK,21720,8795.89,7916.3,4389.85,55.45330521,safe
WEST BENGAL,MALDA,KALIACHAK-I,BLOCK,10660,4399.07,4179.11,2862.65,68.49903448,safe
WEST BENGAL,MALDA,KALIACHAK-II,BLOCK,20917,7209.51,6849.04,2309.41,33.71874014,safe
WEST BENGAL,MALDA,KALIACHAK-III,BLOCK,12737,4843.58,4601.4,2710.04,58.89598818,safe
WEST BENGAL,MALDA,MANIKCHAK,BLOCK,31639,10262.43,9236.19,1658.18,17.95307372,safe
WEST BENGAL,MALDA,OLD MALDA,BLOCK,22800,7801.71,7411.63,1800.04,24.28669537,safe
WEST BENGAL,MALDA,RATUA-I,BLOCK,22517,8084.81,7276.32,3180.85,43.71509224,safe
WEST BENGAL,MALDA,RATUA-II,BLOCK,10129,3987.47,3588.72,2938.41,81.87905437,Semi-Critical
WEST BENGAL,MURSHIDABAD,BELDANGA-I,BLOCK,16875,7613.82,6852.44,4706.99,68.69071455,safe
WEST BENGAL,MURSHIDABAD,BELDANGA-II,BLOCK,20793,7632.59,6869.33,3800.48,55.32533741,safe
WEST BENGAL,MURSHIDABAD,BERHAMPORE,BLOCK,31419,14543.3,13088.97,8996.36,68.73237543,safe
WEST BENGAL,MURSHIDABAD,BHAGAWANGOLA-I,BLOCK,13640,5690.67,5406.13,4268.24,78.9518565,Semi-Critical
WEST BENGAL,MURSHIDABAD,BHAGAWANGOLA-II,BLOCK,14959,6248.18,5623.36,3448.23,61.31974478,safe
WEST BENGAL,MURSHIDABAD,BHARATPUR-I,BLOCK,18372,6539.09,5885.18,2346.77,39.87592563,safe
WEST BENGAL,MURSHIDABAD,BHARATPUR-II,BLOCK,15850,5891.34,5302.21,1000.57,18.87081047,safe
WEST BENGAL,MURSHIDABAD,BURWAN,BLOCK,27094,9956.11,8960.49,4216.34,47.05479276,safe
WEST BENGAL,MURSHIDABAD,DOMKAL,BLOCK,30519,12026.49,10823.84,5343.52,49.36806161,safe
WEST BENGAL,MURSHIDABAD,FARAKKA,BLOCK,13274,4454.37,4231.66,886.82,20.95678764,safe
WEST BENGAL,MURSHIDABAD,HARIHARPARA,BLOCK,25314,10425.97,9904.67,6346.74,64.07825803,safe
WEST BENGAL,MURSHIDABAD,JALANGI,BLOCK,12200,5055.34,4802.58,2581.11,53.74423747,safe
WEST BENGAL,MURSHIDABAD,KANDI,BLOCK,22748,8359.45,7523.51,3665.71,48.72340171,safe
WEST BENGAL,MURSHIDABAD,KHARGRAM,BLOCK,31845,13487.53,12813.16,6606.58,51.5608952,safe
WEST BENGAL,MURSHIDABAD,LALGOLA,BLOCK,18437,6560.01,5904.01,3711.9,62.87082847,safe
WEST BENGAL,MURSHIDABAD,MURSHIDABAD JIAGANJ,BLOCK,20862,8815.3,7933.77,6346.94,79.99904207,Semi-Critical
WEST BENGAL,MURSHIDABAD,NABAGRAM,BLOCK,30663,9948.09,8953.28,5412.12,60.44846135,safe
WEST BENGAL,MURSHIDABAD,NAWDA,BLOCK,23139,10751.29,9676.16,7419.95,76.68279565,Semi-Critical
WEST BENGAL,MURSHIDABAD,RAGUNATHGANJ-I,BLOCK,9465,4146.98,3732.28,2825.11,75.69394579,Semi-Critical
WEST BENGAL,MURSHIDABAD,RAGUNATHGANJ-II,BLOCK,14091,4736.87,4500.03,1299.19,28.87069642,safe
WEST BENGAL,MURSHIDABAD,RANINAGAR-I,BLOCK,17107,8888.59,8444.16,7867.8,93.1744543,Critical
WEST BENGAL,MURSHIDABAD,RANINAGAR-II,BLOCK,17513,7844.73,7060.25,5237.52,74.18320881,Semi-Critical
WEST BENGAL,MURSHIDABAD,SAGARDIGHI,BLOCK,34520,12554.03,11926.33,6844.23,57.38756181,safe
WEST BENGAL,MURSHIDABAD,SAMSERGANJ,BLOCK,9269,3136.45,2979.63,1110.19,37.25932414,safe
WEST BENGAL,MURSHIDABAD,SUTI-I,BLOCK,13884,4476.29,4028.66,1445.96,35.891835,safe
WEST BENGAL,MURSHIDABAD,SUTI-II,BLOCK,9486,3245.9,2921.31,1521.47,52.08177153,safe
WEST BENGAL,NADIA,CHAKDAH,BLOCK,25959,12220.81,10998.73,7254.05,65.95352373,safe
WEST BENGAL,NADIA,CHAPRA,BLOCK,30598,15981.12,14383,13371.14,92.96488911,Critical
WEST BENGAL,NADIA,HANSKHALI,BLOCK,24628,11882.04,10693.84,8160.37,76.30907139,Semi-Critical
WEST BENGAL,NADIA,HARINGHATA,BLOCK,17033,8395.62,7556.06,5998.52,79.38687623,Semi-Critical
WEST BENGAL,NADIA,KALIGANJ,BLOCK,32091,16029.83,14426.84,12292.42,85.20521472,Semi-Critical
WEST BENGAL,NADIA,KALYANI,BLOCK,2921,1150.84,1035.76,910.13,87.87074226,Semi-Critical
WEST BENGAL,NADIA,KARIMPUR-I,BLOCK,21578,10593.53,10063.85,8277.21,82.2469532,Semi-Critical
WEST BENGAL,NADIA,KARIMPUR-II,BLOCK,22439,11662.97,10496.68,9659.99,92.02900346,Critical
WEST BENGAL,NADIA,KRISHNAGANJ,BLOCK,15159,7927.94,7135.14,6646.28,93.1485577,Critical
WEST BENGAL,NADIA,KRISHNANAGAR-I,BLOCK,27319,14016.78,12615.1,10546.58,83.60282519,Semi-Critical
WEST BENGAL,NADIA,KRISHNANAGAR-II,BLOCK,12436,5909.08,5318.17,3788.24,71.23202154,Semi-Critical
WEST BENGAL,NADIA,NABADWIP,BLOCK,9739,4857.94,4615.05,3824.1,82.86150746,Semi-Critical
WEST BENGAL,NADIA,NAKASHIPARA,BLOCK,36091,18684.41,16815.97,15706.7,93.40347301,Critical
WEST BENGAL,NADIA,RANAGHAT-I,BLOCK,14553,5662.41,5379.29,3164.84,58.83378661,safe
WEST BENGAL,NADIA,RANAGHAT-II,BLOCK,27903,14769.77,13292.79,12628.33,95.00135036,Critical
WEST BENGAL,NADIA,SANTIPUR,BLOCK,17140,9118.51,8206.65,7473.29,91.06383238,Critical
WEST BENGAL,NADIA,TEHATTA-I,BLOCK,24955,11170.81,10053.73,9174.28,91.25250032,Critical
WEST BENGAL,NADIA,TEHATTA-II,BLOCK,17247,9417.86,8476.07,8175.06,96.44870795,Critical
WEST BENGAL,NORTH 24 PARGANAS,AMDANGA,BLOCK,13928,6335.67,5702.1,2424.43,42.51819505,safe
WEST BENGAL,NORTH 24 PARGANAS,BADURIA,BLOCK,17972,9995.37,9495.6,7016.89,73.89622562,Semi-Critical
WEST BENGAL,NORTH 24 PARGANAS,BAGDA,BLOCK,23347,13622.29,12260.06,10716.09,87.40650535,Semi-Critical
WEST BENGAL,NORTH 24 PARGANAS,BARASAT-I,BLOCK,11404,5490.58,4941.53,3742.55,75.73666456,Semi-Critical
WEST BENGAL,NORTH 24 PARGANAS,BARASAT-II,BLOCK,10497,6098.84,5793.89,3103.04,53.5571093,safe
WEST BENGAL,NORTH 24 PARGANAS,BARRACKPUR-I,BLOCK,9544,3839.42,3647.45,1466.47,40.20534894,safe
WEST BENGAL,NORTH 24 PARGANAS,BARRACKPUR-II,BLOCK,38305,11232.19,10670.58,1051,9.84951146,safe
WEST BENGAL,NORTH 24 PARGANAS,BASIRHAT-I,BLOCK,11184,6408.25,6087.83,5890.36,96.75631547,Critical
WEST BENGAL,NORTH 24 PARGANAS,BASIRHAT-II,BLOCK,12744,6941.22,6594.16,3020.48,45.80537931,safe
WEST BENGAL,NORTH 24 PARGANAS,BONGAON,BLOCK,33670,21041.73,19989.64,18077.16,90.43264411,Critical
WEST BENGAL,NORTH 24 PARGANAS,DEGANGA,BLOCK,20209,11447.53,10302.77,10013.46,97.19192023,Critical
WEST BENGAL,NORTH 24 PARGANAS,GAIGHATA,BLOCK,24330,14555.31,13099.78,11055.45,84.3941654,Semi-Critical
WEST BENGAL,NORTH 24 PARGANAS,HABRA-I,BLOCK,11736,6875.49,6187.94,5519.43,89.19656622,Semi-Critical
WEST BENGAL,NORTH 24 PARGANAS,HABRA-II,BLOCK,11267,5326.76,4794.09,2490.35,51.94625049,safe
WEST BENGAL,NORTH 24 PARGANAS,HAROA,BLOCK,15273,8801.1,7920.99,1256.3,15.86039119,safe
WEST BENGAL,NORTH 24 PARGANAS,HASNABAD,BLOCK,15307,0,0,0,0,Saline
WEST BENGAL,NORTH 24 PARGANAS,HINGALGANJ,BLOCK,23880,0,0,0,0,Saline
WEST BENGAL,NORTH 24 PARGANAS,MINAKHAN,BLOCK,15882,0,0,0,0,Saline
WEST BENGAL,NORTH 24 PARGANAS,RAJARHAT,BLOCK,7290,4105.46,3694.91,2252.57,60.96413715,safe
WEST BENGAL,NORTH 24 PARGANAS,SANDESHKHALI-I,BLOCK,18230,0,0,0,0,Saline
WEST BENGAL,NORTH 24 PARGANAS,SANDESHKHALI-II,BLOCK,19721,0,0,0,0,Saline
WEST BENGAL,NORTH 24 PARGANAS,SWARUPNAGAR,BLOCK,21513,13004.5,12354.28,8365.41,67.71264695,safe
WEST BENGAL,PASCHIM BARDDHAMAN,ANDAL,BLOCK,8487,2010.61,1809.55,605.64,33.46909453,safe
WEST BENGAL,PASCHIM BARDDHAMAN,BARABANI,BLOCK,27895,5996.34,5396.7,1811.97,33.57551837,safe
WEST BENGAL,PASCHIM BARDDHAMAN,DURGAPUR-FARIDPUR,BLOCK,31017,3327.83,2995.05,1541.67,51.47393199,safe
WEST BENGAL,PASCHIM BARDDHAMAN,JAMURIA,BLOCK,24027,4735.38,4498.61,2930.05,65.13234088,safe
WEST BENGAL,PASCHIM BARDDHAMAN,KANKSA,BLOCK,27844,2716.98,2445.28,1551.86,63.46348884,safe
WEST BENGAL,PASCHIM BARDDHAMAN,PANDABESWAR,BLOCK,8411,2009.84,1808.86,517.21,28.59314707,safe
WEST BENGAL,PASCHIM BARDDHAMAN,RANIGANJ,BLOCK,8327,2303.95,2073.56,1831.3,88.31671136,Semi-Critical
WEST BENGAL,PASCHIM BARDDHAMAN,SALANPUR,BLOCK,23157,2235.74,2012.17,1099.49,54.64200341,safe
WEST BENGAL,PASCHIM MEDINIPUR,CHANDRAKONA-I,BLOCK,23760,9904.02,8913.62,5288.01,59.32505536,safe
